Haplogroup,Score_Africa,Score_Central_Asia,Score_Southeast_Asia
L3h1b1a,0.000000,0.000000,0.000000
L3k1,0.000000,0.000000,0.000000
L3x1a2,0.000000,0.000000,0.000000
L4b1a,0.000000,0.000000,0.000000
L4b2a,1.000000,0.000000,0.000000
L4b2a1,0.000000,0.000000,0.000000
L4b2b,1.000000,0.000000,0.000000
L5a1,1.000000,0.000000,0.000000
L5a1c,0.000000,0.000000,0.000000
M,0.000000,0.000000,0.000000
M1'20'51,0.000000,0.000000,0.000000
M10,0.000000,0.000000,0.000000
M10a,0.000000,0.000000,0.000000
M10a1,0.000000,0.000000,0.000000
M10a1+16129,0.000000,0.000000,0.000000
M10a1a,0.000000,0.000000,0.000000
M10a1a1,0.000000,0.000000,0.000000
M10a1a1a,0.000000,0.000000,0.000000
M10a1a1b,0.000000,0.000000,0.000000
M10a1a1b1,0.000000,0.000000,0.000000
M10a1b,0.000000,0.000000,0.000000
M11a,0.000000,0.000000,0.000000
M11a2,0.000000,0.000000,0.000000
M12,0.000000,0.000000,1.000000
M12a1,0.000000,0.000000,1.000000
M12a1a,0.000000,0.000000,0.000000
M12a1a1,0.000000,0.000000,0.000000
M12a1a2,0.000000,0.000000,0.000000
M12a1b,0.000000,0.000000,0.000000
M12a2,0.000000,0.000000,0.000000
M12b,0.000000,0.000000,1.000000
M12b1a,0.000000,0.000000,1.000000
M12b1a2,0.000000,0.000000,1.000000
M12b1a2a,0.000000,0.000000,1.000000
M12b1a2b,0.000000,0.000000,1.000000
M12b1b,0.000000,0.000000,1.000000
M12b2,0.000000,0.000000,0.000000
M12b2a,0.000000,0.000000,1.000000
M13,0.000000,0.000000,0.000000
M13'46'61+16362,0.000000,0.000000,0.000000
M13a1b,0.000000,0.000000,0.000000
M13a2,0.000000,0.000000,0.000000
M13b1,0.000000,0.000000,0.000000
M13c,0.000000,0.000000,0.000000
M17a,0.000000,0.000000,0.000000
M17c,0.000000,0.000000,0.000000
M17c1a,0.000000,0.000000,0.000000
M17c1a1,0.000000,0.000000,0.000000
M17c1a1a,0.000000,0.000000,0.000000
M18'38,0.000000,0.000000,0.000000
M18c,0.000000,0.000000,0.000000
M19,0.000000,0.000000,0.000000
M1a1b1,0.000000,0.000000,0.000000
M1a1b2,0.000000,0.000000,0.000000
M1a1i,0.000000,0.000000,0.000000
M1a2,0.000000,0.000000,0.000000
M1a3b,0.000000,0.000000,0.000000
M1a3b2,0.000000,0.000000,0.000000
M1a6,0.000000,0.000000,0.000000
M1b1,0.000000,0.000000,0.000000
M1b1a,0.000000,0.000000,0.000000
M1b2,0.000000,0.000000,0.000000
M2,0.000000,0.000000,1.000000
M20,0.000000,0.000000,0.000000
M21a,0.000000,0.000000,0.000000
M21b,0.000000,0.000000,0.000000
M21b+210,0.000000,0.000000,1.000000
M21b1,0.000000,0.000000,1.000000
M21b1a,0.000000,0.000000,0.000000
M21b2,0.000000,0.000000,0.000000
M22a,0.000000,0.000000,0.000000
M22b,0.000000,0.000000,0.000000
M23,0.000000,0.000000,0.000000
M23'75,0.000000,0.000000,0.000000
M24a,0.000000,0.000000,0.000000
M24b,0.000000,0.000000,0.000000
M26,0.000000,0.000000,0.000000
