Haplogroup	Frequency_Southeast_Asia	Frequency_non_Southeast_Asia	Total_Southeast_Asia	Total_non_Southeast_Asia
M49	0.001955	0.000000	6649	46825
M49a	0.000602	0.000000	6649	46825
M49c1	0.000150	0.000043	6649	46825
M49e	0.000301	0.000043	6649	46825
M49e1	0.000451	0.000000	6649	46825
M4a	0.000602	0.000149	6649	46825
M5	0.005866	0.000149	6649	46825
M50	0.001053	0.000021	6649	46825
M50a	0.000301	0.000000	6649	46825
M50a1	0.001955	0.000043	6649	46825
M50a2	0.000301	0.000021	6649	46825
M51	0.003309	0.000000	6649	46825
M51a	0.002106	0.000000	6649	46825
M51a1	0.000301	0.000000	6649	46825
M51a1a	0.000902	0.000021	6649	46825
M51a1b	0.002406	0.000021	6649	46825
M51a2	0.001504	0.000000	6649	46825
M51b	0.001203	0.000000	6649	46825
M51b1	0.000602	0.000000	6649	46825
M51b1a	0.000602	0.000000	6649	46825
M51b1b	0.002256	0.000000	6649	46825
M54	0.000752	0.000085	6649	46825
M55	0.002557	0.000043	6649	46825
M57+152	0.000150	0.000021	6649	46825
M57a	0.000301	0.000085	6649	46825
M58	0.000451	0.000021	6649	46825
M59	0.001053	0.000043	6649	46825
M5a	0.000451	0.000171	6649	46825
M5a2a	0.000150	0.000064	6649	46825
M5a2a1a2	0.000451	0.000085	6649	46825
M5a4	0.000150	0.000043	6649	46825
M5b	0.000301	0.000021	6649	46825
M5c1	0.000451	0.000085	6649	46825
M5c2	0.000150	0.000085	6649	46825
M5d	0.000150	0.000043	6649	46825
M6	0.000451	0.000043	6649	46825
M60	0.000150	0.000000	6649	46825
M60a1	0.000150	0.000085	6649	46825
M61	0.002406	0.000149	6649	46825
M62	0.000451	0.000043	6649	46825
M62'68	0.000150	0.000000	6649	46825
M65a+@16311	0.000451	0.000107	6649	46825
M68	0.000451	0.000000	6649	46825
M68a	0.000902	0.000000	6649	46825
M68a1	0.000451	0.000000	6649	46825
M68a1a	0.003760	0.000000	6649	46825
M68a2	0.000451	0.000000	6649	46825
M68a2a	0.000902	0.000000	6649	46825
M69a	0.002106	0.000000	6649	46825
M6a1a	0.000602	0.000171	6649	46825
M70	0.000150	0.000940	6649	46825
M71	0.001354	0.000384	6649	46825
M71+151	0.008272	0.000000	6649	46825
M71a	0.000602	0.000171	6649	46825
